zL8Wb8101436381fb8b65b98a4ba9c46f4928cda0e629f6e3472a2c0ff0eaaf8e07d8, Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,Checked,0,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,UnChecked,0,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,UnChecked,0,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,Checked,0,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,Checked,1,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,UnChecked,1,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,UnChecked,0,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,UnChecked,0,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,26,Checked,0,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,11010,UnChecked,0,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,UnChecked,1,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,UnChecked,1,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,Checked,1,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,6,T/F,,Something can be both New and Improved,False,1,True,UnChecked,1,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,6,T/F,,Something can be both New and Improved,False,1,False,Checked,1,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,Jeff,0,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 2,The land shark,0,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,8,MC,,Is your answer to this question 'no'?,False,1,yes,Checked,1,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,8,MC,,Is your answer to this question 'no'?,False,1,no,UnChecked,1,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,s,UnChecked,1,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,c,UnChecked,1,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,a,Checked,1,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,p,UnChecked,1,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,a popsicle,UnChecked,1,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,ice cream,Checked,1,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,coca cola,UnChecked,1,1
XoZgi37072f63cbec09ba69481d72b6303e2ba43685da17f33501e90c2db96aa5e023, 1,1/16/2025 9:31 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,frozen yogurt,UnChecked,1,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,Checked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,Checked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,Checked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,26,Checked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,11010,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,Checked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,6,T/F,,Something can be both New and Improved,False,1,True,Checked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,6,T/F,,Something can be both New and Improved,False,1,False,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,Sally,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 2,Dumbo,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,8,MC,,Is your answer to this question 'no'?,False,1,yes,Checked,1,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,8,MC,,Is your answer to this question 'no'?,False,1,no,UnChecked,1,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,s,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,c,Checked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,a,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,p,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,coca cola,Checked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,ice cream,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,a popsicle,UnChecked,0,1
UlQzv42348ec376accf55bd6877c35f3dd1a6f421503bd61c00d581e1d30d9ae05181, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,frozen yogurt,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,Checked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,Checked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,Checked,1,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,UnChecked,1,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,26,Checked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,11010,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,UnChecked,1,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,UnChecked,1,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,Checked,1,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,6,T/F,,Something can be both New and Improved,False,1,True,Checked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,6,T/F,,Something can be both New and Improved,False,1,False,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,bologna,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 2,bologna two,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,8,MC,,Is your answer to this question 'no'?,False,1,yes,Checked,1,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,8,MC,,Is your answer to this question 'no'?,False,1,no,UnChecked,1,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,s,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,c,Checked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,a,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,p,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,ice cream,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,frozen yogurt,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,a popsicle,UnChecked,0,1
io5G7be3a9e94cdd19c6e0049eb7593ee52270eec7995a38998febf8d6317253652a2, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,coca cola,Checked,0,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,Checked,0,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,UnChecked,0,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,UnChecked,0,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,Checked,0,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,UnChecked,0,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,Checked,0,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,Checked,0,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,UnChecked,0,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,26,UnChecked,0,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,11010,UnChecked,0,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,UnChecked,1,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,UnChecked,1,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,Checked,1,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,6,T/F,,Something can be both New and Improved,False,1,True,Checked,0,1
0ayMO968383d0f267236c5225026f60048266a4e59206ee4b64bbdb35cd4ec57af471, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,6,T/F,,Something can be both New and Improved,False,1,False,UnChecked,0,1
